"","lon","lat","cor_ano_prec","p_value_ano_prec"
"95",-47,-11.5,-0.717358582769624,0.045158386171425
"96",-46.5,-23,-0.76979619584861,0.0254752239694555
"97",-46.5,-21.5,0.779221875149304,0.0226453912464404
"98",-46.5,-18.5,0.837976117113214,0.037250903626233
"99",-46,-23,-0.724173259867635,0.0422082971663688
"100",-46,-21,0.902684573635639,0.0973154263643605
"101",-45.5,-23,-0.918106939856877,0.0277841091934959
"102",-45.5,-20,0.794890932604491,0.0183898464953774
"103",-45.5,-19.5,0.703594746653962,0.0514879090811709
"104",-45.5,-16,-0.961557123284557,0.0384428767154434
"105",-45,-21,0.680443153535209,0.0632776151229218
"106",-45,-20,0.633251422331258,0.09188998685716
"107",-45,-18,0.813463239544424,0.0939591916663712
"108",-45,-12,0.821716599701914,0.044844089894524
"109",-45,-4.5,-0.738352278785977,0.0580751393010906
"110",-44.5,-4,-0.674210320407566,0.0667009681356592
"111",-44.5,-3.5,-0.686007181115693,0.0603115582486505
"112",-44.5,-2.5,0.770084988545796,0.0253854428778475
"113",-44,-22,-0.844968480695895,0.0341890843586904
"114",-44,-20.5,0.630514188340707,0.0937420834549788
"115",-44,-19,-0.707398823992872,0.0496884807778425
"116",-44,-7,-0.798625422005648,0.0174560660559088
"117",-44,-3.5,-0.755828721047784,0.0300542737446797
"118",-44,-3,-0.644537113457617,0.0844784891187426
"119",-43.5,-18.5,-0.99185424727245,0.0813122498663514
"120",-43.5,-7.5,-0.670317689266926,0.0688932873609272
"121",-43.5,-7,-0.732513727480621,0.0387607872668599
"122",-43.5,-4,-0.765270810842429,0.0761801583151206
"123",-43,-23,-0.666182757640539,0.0712680195470675
"124",-43,-19,-0.700190714079785,0.0797988167712776
"125",-43,-18.5,-0.636955074964568,0.0894179071939347
"126",-43,-8,-0.674671984126849,0.0664437356464301
"127",-43,-7.5,-0.636485666284698,0.0897290669803555
"128",-43,-7,-0.742800187381623,0.0907205073858378
"129",-42.5,-20.5,-0.641710830040863,0.0863006755335319
"130",-42.5,-9.5,-0.76652283472779,0.0444083794064278
"131",-42.5,-9,-0.677477423257865,0.0944878185788414
"132",-42,-11,-0.94856824033301,0.0514317596669895
"133",-42,-9,-0.707673506677878,0.0495600359182189
"134",-42,-8.5,-0.651609534478756,0.0800175159456311
"135",-42,-8,-0.676025826995634,0.0656927805413065
"136",-41.5,-9,-0.76047184862681,0.0284802137109029
"137",-41.5,-8,-0.682578736031777,0.0621291799120359
"138",-40.5,-8.5,-0.67779859921245,0.0647170806927132
"139",-40.5,-7.5,-0.666522070965833,0.0710713614286321
"140",-40.5,-7,-0.646123460482705,0.0834656184485242
"141",-40,-8.5,-0.652494191133113,0.0794694252199169
