"","sif_mean","prec_tot","c.NA...0.0744688138365746..NA..0.0175486113876104...0.138637855648994..","lon","lat","optional"
"122",0.335695030868694,1615.55,NA,-68.5,-8,TRUE
"123",0.319521713256836,1996.78,-0.39856368303299,-68.5,-7.5,TRUE
"124",0.264309598553565,2304.96,NA,-68.5,-7,TRUE
"125",0.310112336638627,2433.92,NA,-68.5,-6.5,TRUE
"126",0.299370090634215,2533.4,NA,-68.5,-6,TRUE
"127",0.279832719012005,2711.62,NA,-68.5,-5.5,TRUE
"128",0.27881442671972,2856.05,NA,-68.5,-5,TRUE
"129",0.282048979702727,2777.03,-0.590210914611816,-68.5,-4.5,TRUE
"130",0.276618243486453,2689.95,NA,-68.5,-4,TRUE
"131",0.217095869558829,2626.78,0.0506037250161171,-68.5,-3.5,TRUE
"132",0.123332977294922,2652.65,NA,-68.5,-3,TRUE
"133",0.308336814244588,2786.88,NA,-68.5,-2.5,TRUE
"134",0.365352233250936,3012.43,NA,-68.5,-2,TRUE
"135",0.253750457763672,3167.94,-0.233357757329941,-68.5,-1.5,TRUE
"136",0.284402587834526,3156.16,NA,-68.5,-1,TRUE
"137",0.24517326530773,3052.72,NA,-68.5,-0.5,TRUE
"138",0.261475153267384,2961.33,NA,-68.5,0,TRUE
"139",0.266858613538177,2923.7,NA,-68.5,0.5,TRUE
"140",0.276436672506734,2917.52,NA,-68.5,1,TRUE
"141",0.25044232513268,2909.87,NA,-68.5,1.5,TRUE
"142",0.4142919921875,1147.85,-0.0400670655071735,-68,-10.5,TRUE
"143",0.280404168506001,1118.42,0.0588758587837219,-68,-10,TRUE
"144",0.36186658666375,1129.23,-0.0397053770720959,-68,-9.5,TRUE
"145",0.361840925046376,1209.65,NA,-68,-9,TRUE
"146",0.325047769680829,1372.95,0.0252080112695694,-68,-8.5,TRUE
"147",0.307139774163564,1651.28,NA,-68,-8,TRUE
"148",0.304352228031602,2018.38,NA,-68,-7.5,TRUE
"149",0.296881196998325,2293.52,NA,-68,-7,TRUE
"150",0.312897849409548,2410.69,-0.378932923078537,-68,-6.5,TRUE
"151",0.226807469519499,2506.03,NA,-68,-6,TRUE
"152",0.247933314396785,2683.13,NA,-68,-5.5,TRUE
"153",0.309821373078881,2849.86,NA,-68,-4.5,TRUE
"154",0.279755693800906,2792.17,NA,-68,-4,TRUE
"155",0.223439253293551,2567.44,NA,-68,-3.5,TRUE
"156",0.317689615137437,2620.64,NA,-68,-3,TRUE
"157",0.304625788601962,2809.86,0.0610027313232422,-68,-2.5,TRUE
"158",0.298682287922056,3060.08,NA,-68,-2,TRUE
"159",0.297831823712304,3185.07,NA,-68,-1.5,TRUE
"160",0.272729913568707,3133.77,NA,-68,-1,TRUE
"161",0.290276304880778,3012.02,NA,-68,-0.5,TRUE
"162",0.260562613325299,2940.45,NA,-68,0,TRUE
"163",0.254646786315154,2927.88,0.277489691972733,-68,0.5,TRUE
"164",0.232124206937593,2941.57,NA,-68,1,TRUE
"165",0.270976638793945,2966.36,NA,-68,1.5,TRUE
"166",0.280852331546108,1054.53,-0.0829590409994125,-67.5,-10,TRUE
"167",0.311361474134728,1505.95,NA,-67.5,-9.5,TRUE
"168",0.307275226097981,1691.16,NA,-67.5,-9,TRUE
"169",0.284720231217948,1750.49,NA,-67.5,-8.5,TRUE
"170",0.25738683113685,1853.83,NA,-67.5,-8,TRUE
"171",0.35439303883335,2241.3,NA,-67.5,-7,TRUE
"172",0.349433457409894,2348.46,NA,-67.5,-6.5,TRUE
"173",0.291589708039255,2423.81,NA,-67.5,-6,TRUE
"174",0.320304087230137,2530.27,NA,-67.5,-5.5,TRUE
"175",0.311206803670744,2639.53,0.0568510480225086,-67.5,-5,TRUE
"176",0.294457116297313,2693.52,NA,-67.5,-4.5,TRUE
"177",0.300267112224608,2756.44,NA,-67.5,-4,TRUE
"178",0.314977218938428,2796.12,NA,-67.5,-3.5,TRUE
"179",0.31359981453937,2781.31,NA,-67.5,-3,TRUE
"180",0.323224445986351,2826.62,NA,-67.5,-2.5,TRUE
"181",0.312696750017478,2961.94,NA,-67.5,-2,TRUE
"182",0.308860495151618,3057.47,NA,-67.5,-1.5,TRUE
"183",0.247273890177409,3057.04,NA,-67.5,-1,TRUE
"184",0.18342113494873,3027.83,NA,-67.5,-0.5,TRUE
"185",0.430343627929688,3019.96,NA,-67.5,0,TRUE
"186",0.231122212989308,3034.9,NA,-67.5,0.5,TRUE
"187",0.268211957570669,3062.41,NA,-67.5,1,TRUE
"188",0.269410072601403,3080.11,NA,-67.5,1.5,TRUE
"189",0.254727002003747,3055.14,NA,-67.5,2,TRUE
"190",0.298348835536412,1796.53,NA,-67,-9,TRUE
"191",0.348961469862196,1849.58,NA,-67,-8.5,TRUE
"192",0.429526903191391,1882.05,NA,-67,-8,TRUE
"193",0.326991841197014,1945.78,NA,-67,-7.5,TRUE
"194",0.292586953672644,2047.67,NA,-67,-7,TRUE
"195",0.280077635008713,2176.4,NA,-67,-6.5,TRUE
"196",0.300232354095717,2301.86,NA,-67,-6,TRUE
"197",0.310049575132101,2413.17,NA,-67,-5.5,TRUE
"198",0.326865417369898,2519.55,NA,-67,-5,TRUE
"199",0.295504896587114,2636.03,0.000144281235407107,-67,-4.5,TRUE
"200",0.289984047412872,2769.7,NA,-67,-4,TRUE
"201",0.257027293789771,2796.75,NA,-67,-3.5,TRUE
"202",0.228276154933832,2610.43,NA,-67,-3,TRUE
"203",0.287639747231694,2760.05,NA,-67,-2,TRUE
"204",0.256813906241154,2936.36,NA,-67,-1.5,TRUE
"205",0.256040408138484,2992.42,NA,-67,-1,TRUE
"206",0.286075592041016,2997.19,NA,-67,-0.5,TRUE
"207",0.291704630447646,3013.38,0.000836354214698076,-67,0,TRUE
"208",0.301942515031002,3057.5,NA,-67,0.5,TRUE
"209",0.28992177907703,3098.06,NA,-67,1,TRUE
"210",0.38403944109307,1662.27,NA,-66.5,-9.5,TRUE
"211",0.326146037897207,1742.02,NA,-66.5,-9,TRUE
"212",0.311794119496499,1903.13,NA,-66.5,-8.5,TRUE
"213",0.308902802674667,1892.71,NA,-66.5,-8,TRUE
"214",0.309049328890714,1960.3,NA,-66.5,-7.5,TRUE
"215",0.292612649985319,2072.25,NA,-66.5,-7,TRUE
"216",0.300839334726334,2139.96,NA,-66.5,-6.5,TRUE
"217",0.245341068360864,2222.09,NA,-66.5,-6,TRUE
"218",0.259453192353249,2365.88,NA,-66.5,-5.5,TRUE
"219",0.280426740646362,2525.46,NA,-66.5,-5,TRUE
"220",0.353507115290715,2707.47,NA,-66.5,-4.5,TRUE
"221",0.358832961223165,2886.1,NA,-66.5,-4,TRUE
"222",0.339922128134216,2869.88,0.224212303757668,-66.5,-3.5,TRUE
"223",0.219566468534798,2538.64,NA,-66.5,-3,TRUE
"224",0.309213549591774,2654,0.265188455581665,-66.5,-2.5,TRUE
"225",0.268791443262345,2841.32,NA,-66.5,-2,TRUE
"226",0.294303582484029,2951.64,NA,-66.5,-1.5,TRUE
"227",0.284142739475726,2969.26,NA,-66.5,-1,TRUE
"228",0.309552319392049,2972,NA,-66.5,-0.5,TRUE
"229",0.331754882977206,2994.41,NA,-66.5,0,TRUE
"230",0.288137914345017,3037.4,NA,-66.5,0.5,TRUE
"231",0.304347044637486,1662.27,NA,-66,-9.5,TRUE
"232",0.318726426884356,1742.02,NA,-66,-9,TRUE
"233",0.29027954949273,1903.13,NA,-66,-8.5,TRUE
"234",0.265972805023193,1892.71,-0.484792202711105,-66,-8,TRUE
"235",0.337788899739583,1960.3,NA,-66,-7.5,TRUE
"236",0.326988472995988,2139.96,NA,-66,-6.5,TRUE
"237",0.337647706689969,2222.09,NA,-66,-6,TRUE
