"","lon","lat","cor_sif_prec","p_value_sif_prec"
"57",-53,-22,0.657470478842498,0.0764272955630154
"58",-53,-21,0.745843298934935,0.0336175985352127
"59",-53,-14,0.648955386825129,0.0816751099176623
"60",-52.5,-29,0.684163966670803,0.0612847681678337
"61",-52.5,-24.5,0.737708025922506,0.0367033972427958
"62",-52.5,-17,0.665330345984249,0.0717634692520151
"63",-52.5,-14,-0.714123916199279,0.0466010454464947
"64",-52,-28.5,-0.86484410490904,0.00556351935386466
"65",-52,-28,0.633680054960349,0.0916018918583349
"66",-52,-20,0.823645364693403,0.0439090370917211
"67",-52,-16,-0.819828001928658,0.0127171994873335
"68",-52,-4,-0.71208243356657,0.0475256715338669
"69",-51.5,-23.5,0.754277069480723,0.083151292262944
"70",-51.5,-21,0.686691616807717,0.0599525360156277
"71",-51.5,-12,-0.73349429732123,0.0383671568875808
"72",-51,-26,0.793142071018117,0.0597595578098413
"73",-51,-23.5,0.858686945425318,0.00632826188901243
"74",-51,-21.5,0.624495474059795,0.0978896384582541
"75",-51,-15,-0.791596126814191,0.0192390913621941
"76",-51,-14,-0.815288996873243,0.0136530352512537
"77",-51,-13.5,-0.755148772834381,0.0302891672672457
"78",-51,-1.5,-0.690317263399003,0.0580719364644703
"79",-50.5,-28,-0.776718393752506,0.0399537875922869
"80",-50.5,-21.5,0.855981274557772,0.0296185154051088
"81",-50.5,-17.5,0.67789440031862,0.0646645997100983
"82",-50.5,-16,-0.893699352908673,0.00276862593216993
"83",-50.5,-15.5,-0.809655106983026,0.0148734396459788
"84",-50.5,-5.5,0.99210533863045,0.0800475429249713
"85",-50,-23.5,0.764223814503318,0.0768321671026214
"86",-50,-22,0.632604287411425,0.0923259331397977
"87",-50,-21,-0.829523743737253,0.0108563711795525
"88",-50,-15,0.816719369543056,0.0133536010619163
"89",-49.5,-24,0.62709344923241,0.0960866697029038
"90",-49.5,-23.5,0.827166624507702,0.0112916980888982
"91",-49.5,-18,0.742800580469831,0.0347523623665639
"92",-49,-23.5,0.657103984454211,0.0766489746628243
"93",-49,-21,0.846253177513083,0.0163579176393295
"94",-48.5,-26.5,-0.729932806353691,0.0398085594203935
"95",-48.5,-25.5,-0.715082105173767,0.0461708374013439
"96",-48.5,-23,0.65080377454595,0.0805186411196357
"97",-48.5,-14.5,0.728451158941932,0.0404177540018743
"98",-48.5,-9.5,0.95373194436436,0.0462680556356403
"99",-48.5,-9,0.73841967588557,0.0580400478840642
"100",-48.5,-2.5,0.846832711438498,0.00798299179121142
"101",-48.5,-1,0.746723916790484,0.0332934712738341
"102",-48,-21.5,-0.685757872499916,0.0604426506067159
"103",-48,-17.5,0.687956616807302,0.0592923325962414
"104",-48,-2,0.83124676436644,0.0105449799611379
"105",-47.5,-24.5,0.638276630293336,0.0885452389935639
"106",-47.5,-5.5,0.629835970626325,0.0942042848620559
"107",-47.5,-0.5,0.70094641924383,0.0793326529686274
"108",-47,-23,0.638210760175564,0.0885886179340538
"109",-47,-22.5,0.724332966531422,0.0421406035699722
"110",-47,-13.5,-0.868562012031772,0.00513189005934729
"111",-47,-4.5,0.686908962876305,0.0598387934283023
"112",-47,-1,0.884959246845716,0.00348538332714689
"113",-46.5,-20,0.731412419835673,0.0392058043557677
"114",-46.5,-12,0.844944593414043,0.0715642727494189
"115",-46.5,-10.5,0.673423698149626,0.097247262716342
"116",-46.5,-10,0.849095610965323,0.00764806413153038
"117",-46.5,-9.5,0.659045019387623,0.0754791899665806
"118",-46.5,-5,-0.811918259546435,0.0497354402017207
"119",-46.5,-3.5,0.772823126284421,0.024543919895094
"120",-46,-22,0.696306757183903,0.082217610181425
"121",-46,-20.5,-0.844818531659793,0.0716501364135402
"122",-46,-18.5,-0.711939056535596,0.0475910216552905
"123",-46,-17.5,0.851104650690692,0.00735833830640542
"124",-46,-10,0.66543729795653,0.0717011944117213
"125",-46,-8,0.787279499894704,0.0203881654551551
"126",-46,-5.5,0.662372093426778,0.0734985881155612
"127",-46,-5,0.651148533483966,0.0803040021306218
"128",-45.5,-23,-0.849723494401271,0.0683329765263129
"129",-45.5,-12,0.79236793507806,0.019038006223633
"130",-45.5,-11.5,0.787635517549582,0.0202918189760027
"131",-45.5,-8,0.693353881430808,0.0565242826449409
"132",-45.5,-7,-0.65616788804773,0.07721689280711
"133",-45,-17,0.739059590028339,0.0577074398746713
"134",-45,-16,0.685374334485406,0.0606446546194331
"135",-45,-15,0.80012835727562,0.0170888269732293
"136",-44.5,-17.5,0.659618517032474,0.0751355824449819
"137",-44.5,-15.5,0.660716622311856,0.0744802241050352
"138",-44.5,-5.5,0.677209703306379,0.0650402389846668
"139",-44.5,-4,0.655719569196472,0.0774897518757004
"140",-44,-22,0.909844051970321,0.0118257443940669
"141",-44,-19.5,-0.712687321319317,0.0472505641022474
"142",-44,-9,0.859843011433917,0.0616464697313767
"143",-44,-7.5,0.721705278076831,0.0432627671275794
"144",-44,-7,0.892251522781788,0.00288005048636611
"145",-43.5,-21.5,-0.729004171744848,0.0401897194312289
"146",-43.5,-18.5,0.993439770549586,0.0729612631651519
"147",-43.5,-18,0.803462712498895,0.0294943278057957
"148",-43.5,-15,0.803259235898811,0.0163394381204636
"149",-43.5,-14,0.70252784235039,0.0519994979353242
"150",-43.5,-12,0.83825785199941,0.0184843828920282
"151",-43.5,-7.5,0.703752515081312,0.0514125154302627
"152",-43.5,-7,0.642662046702722,0.0856848761038124
"153",-43,-22,-0.710399384586349,0.0482962060565833
"154",-43,-18.5,-0.777775606177083,0.0230662250940891
"155",-43,-16.5,0.702180008998545,0.0521669430731725
"156",-43,-16,0.68803881203015,0.0592495854517186
"157",-43,-15.5,0.823523429844063,0.0119859952005735
"158",-43,-10,0.725701746275047,0.0415631292272867
"159",-43,-5,0.656425354466249,0.0770604463606622
"160",-43,-4.5,0.697885714737919,0.0542608505033225
"161",-42.5,-17.5,0.688559956748522,0.0589789816542411
"162",-42.5,-15,0.895532682652756,0.00263158761182981
"163",-42.5,-10.5,0.638939069403654,0.0881096722134208
"164",-42.5,-8,0.691357952837752,0.0853551809664789
"165",-42.5,-3.5,0.938975963613994,0.000542439013320517
"166",-42,-14.5,0.748674224164623,0.0325824602973471
"167",-42,-8,-0.733287156376058,0.0384501057957848
"168",-42,-7.5,-0.642787363616548,0.08560393921362
"169",-42,-4,0.793691493997537,0.0331114677044271
