"","sif_mean","prec_tot","c.NA..0.0370583422482014..NA...0.000374449853552505..0.0797383338212967..","lon","lat","optional"
"179",0.279129539217268,2868.76,NA,-67.5,-4.5,TRUE
"180",0.288751800588313,2901.49,NA,-67.5,-4,TRUE
"181",0.310843941636095,2772.76,NA,-67.5,-3.5,TRUE
"182",0.320196348629641,2629.65,NA,-67.5,-3,TRUE
"183",0.311753659718256,2593.2,NA,-67.5,-2.5,TRUE
"184",0.301015063029964,2713.58,NA,-67.5,-2,TRUE
"185",0.280315558115641,2949.41,NA,-67.5,-1.5,TRUE
"186",0.246062707901001,3156.94,NA,-67.5,-1,TRUE
"187",0.236733006496055,3270.75,NA,-67.5,-0.5,TRUE
"188",0.323053465949165,3395.49,NA,-67.5,0,TRUE
"189",0.256248291015625,3615.8,NA,-67.5,0.5,TRUE
"190",0.272466011468877,3858.17,NA,-67.5,1,TRUE
"191",0.305210143961805,3985.28,NA,-67.5,1.5,TRUE
"192",0.293181531857222,3970.16,NA,-67.5,2,TRUE
"193",0.176307784186469,1724.9,0.109762921929359,-67,-10,TRUE
"194",0.435255459376744,1805.61,NA,-67,-9,TRUE
"195",0.303020425744959,1768.25,NA,-67,-8.5,TRUE
"196",0.315850082196687,1682.15,NA,-67,-8,TRUE
"197",0.32343183561813,1600.73,NA,-67,-7.5,TRUE
"198",0.271751916230615,1610.75,NA,-67,-7,TRUE
"199",0.276145481672443,1848.17,NA,-67,-6.5,TRUE
"200",0.329150679332962,2263.9,NA,-67,-6,TRUE
"201",0.325339758306518,2629.12,NA,-67,-5.5,TRUE
"202",0.323905503454287,2833.56,NA,-67,-5,TRUE
"203",0.309749303649669,2954.21,0.000127318708109669,-67,-4.5,TRUE
"204",0.294780820129002,3037.24,NA,-67,-4,TRUE
"205",0.260667544579789,2989.58,NA,-67,-3.5,TRUE
"206",0.245884162902832,2793.03,NA,-67,-3,TRUE
"207",0.253085434436798,2652.85,NA,-67,-2.5,TRUE
"208",0.345684251477641,2766.8,NA,-67,-2,TRUE
"209",0.242753214952422,2966.29,NA,-67,-1.5,TRUE
"210",0.276703627904256,3139.43,NA,-67,-1,TRUE
"211",0.291465060401509,3267.14,NA,-67,-0.5,TRUE
"212",0.323963946766324,3415.85,0.000868854636792094,-67,0,TRUE
"213",0.306988472374864,3663.03,NA,-67,0.5,TRUE
"214",0.269209206706346,3935.2,NA,-67,1,TRUE
"215",0.305101541372446,1770.66,NA,-66.5,-9.5,TRUE
"216",0.374591211729412,1762.77,NA,-66.5,-9,TRUE
"217",0.32495862829919,1821.55,NA,-66.5,-8.5,TRUE
"218",0.314555653722295,1732.92,NA,-66.5,-8,TRUE
"219",0.303203317013157,1619.8,NA,-66.5,-7.5,TRUE
"220",0.297259721568987,1596.84,NA,-66.5,-7,TRUE
"221",0.291747392323624,1843.34,NA,-66.5,-6.5,TRUE
"222",0.269968254065439,2271.36,NA,-66.5,-6,TRUE
"223",0.240487916128976,2659.71,NA,-66.5,-5.5,TRUE
"224",0.299276601700556,2907.19,NA,-66.5,-5,TRUE
"225",0.296911542555865,3074.67,NA,-66.5,-4.5,TRUE
"226",0.316662010239677,3187.96,NA,-66.5,-4,TRUE
"227",0.347946013013522,3121.85,-0.39375913143158,-66.5,-3.5,TRUE
"228",0.310830790980333,2818,NA,-66.5,-3,TRUE
"229",0.348052452772092,2710.84,-0.212414011359215,-66.5,-2.5,TRUE
"230",0.365126673380534,2834.82,NA,-66.5,-2,TRUE
"231",0.282297770182292,2997.09,NA,-66.5,-1.5,TRUE
"232",0.321324022760931,3125.44,NA,-66.5,-1,TRUE
"233",0.333538341061505,3240.29,NA,-66.5,-0.5,TRUE
"234",0.355141368508339,3419.66,NA,-66.5,0,TRUE
"235",0.315339141291351,3683.37,NA,-66.5,0.5,TRUE
"236",0.301926038629529,1770.66,NA,-66,-9.5,TRUE
"237",0.318039929944705,1762.77,NA,-66,-9,TRUE
"238",0.28683142434983,1821.55,NA,-66,-8.5,TRUE
"239",0.261655241250992,1732.92,2.42467665672302,-66,-8,TRUE
"240",0.265116585625543,1619.8,NA,-66,-7.5,TRUE
"241",0.350464165210724,1596.84,NA,-66,-7,TRUE
"242",0.351957197189331,1843.34,NA,-66,-6.5,TRUE
"243",0.323189442384176,2271.36,NA,-66,-6,TRUE
"244",0.295402452057483,2659.71,NA,-66,-5.5,TRUE
"245",0.307061513264974,2907.19,NA,-66,-5,TRUE
"246",0.364554127560386,3074.67,NA,-66,-4.5,TRUE
"247",0.28192400026925,3187.96,NA,-66,-4,TRUE
"248",0.289598106732828,3121.85,NA,-66,-3.5,TRUE
"249",0.307105138972278,2818,NA,-66,-3,TRUE
"250",0.326554020968351,2710.84,NA,-66,-2.5,TRUE
"251",0.330553095502457,2834.82,NA,-66,-2,TRUE
"252",0.285311678016328,2997.09,NA,-66,-1.5,TRUE
"253",0.281063683954368,3125.44,NA,-66,-1,TRUE
"254",0.276929366026873,3240.29,NA,-66,-0.5,TRUE
"255",0.241643052352102,3419.66,NA,-66,0,TRUE
"256",0.404688596725464,3683.37,NA,-66,0.5,TRUE
"257",0.279074192047119,1720.47,NA,-65.5,-9.5,TRUE
