"","lon","lat","cor_ano_sif","p_value_ano_sif"
"158",-40.5,-13,-0.940053500160347,0.000514633639977342
"159",-40.5,-12.5,-0.806944533246799,0.015484174444201
"160",-40.5,-11.5,-0.886999230153298,0.0184322977335617
"161",-40.5,-6.5,-0.686591247982024,0.0600051049038151
"162",-40.5,-5.5,-0.760654774444647,0.0284192654978752
"163",-40,-16,-0.663501806572173,0.0728330952450736
"164",-40,-15,-0.640499556919277,0.0870885383622296
"165",-40,-14,-0.76221489237713,0.0463688160645199
"166",-40,-13.5,-0.947218167721748,0.052781832278252
"167",-40,-9,0.640064990890536,0.0873722113065973
"168",-39.5,-10.5,-0.71453509694706,0.0464161384086686
"169",-39.5,-4,-0.671038996452705,0.068483887355415
"170",-39.5,-3.5,-0.63158091754158,0.093017765024064
"171",-39,-15.5,-0.685152261530154,0.0607618005628195
"172",-39,-8.5,-0.862798745632677,0.00581057959854545
"173",-39,-6,-0.75239969775716,0.031250346326257
"174",-39,-5.5,-0.739806881569449,0.0358914072953824
"175",-39,-5,-0.766364659836363,0.0265570877242631
"176",-38.5,-10,-0.899669174453973,0.00233871300080094
"177",-38.5,-9.5,-0.714170708045713,0.0465799808909535
"178",-38.5,-9,-0.765989973546481,0.0266769026727159
"179",-38.5,-7.5,-0.622756396241208,0.099107314396938
"180",-38.5,-6,-0.700885518405596,0.0793701663534015
"181",-38.5,-5.5,-0.943141057435788,0.000440179331824991
"182",-38.5,-5,-0.794065886132204,0.0186002589230855
"183",-38.5,-4.5,-0.65895695734086,0.0755320332236087
"184",-38,-11.5,-0.630264237102862,0.0939122712566201
"185",-38,-10.5,-0.796738553521544,0.0179240592163974
"186",-38,-9.5,-0.771567532004679,0.0249276267668776
"187",-37.5,-11,0.996322438863182,0.00367756113681803
"188",-37.5,-8.5,-0.660829520275254,0.0744130365851738
"189",-37,-10,-0.715329074868249,0.0460603430098626
"190",-36.5,-10,-0.6968359514944,0.0547802378817029
"191",-36.5,-6.5,-0.626385022213441,0.0965763999989102
"192",-36,-9.5,0.895437468261232,0.00263859411387527
"193",-36,-6,-0.80927912093488,0.0149572339244119
"194",-36,-5.5,-0.77885404201568,0.0227519668859552
"195",-35.5,-9,-0.635312075713463,0.0905097502999912
"196",-35.5,-8.5,-0.658005007909435,0.0761046525328407
"197",-35.5,-7,-0.861533625353835,0.0059668524998183
