"","sif_mean","prec_tot","c.NA...0.0200341772288084..NA...0.0558364912867546..0.00295023061335087..","lon","lat","optional"
"183",0.424358217339767,1786.66,NA,-67.5,-7,TRUE
"184",0.311834287643433,1961.68,NA,-67.5,-5.5,TRUE
"185",0.289518551948743,2046.1,-0.167448297142982,-67.5,-5,TRUE
"186",0.285594374634499,2117.84,NA,-67.5,-4.5,TRUE
"187",0.271259847234507,2134.81,NA,-67.5,-4,TRUE
"188",0.294497618695352,2141.05,NA,-67.5,-3.5,TRUE
"189",0.30367797650537,2131.96,NA,-67.5,-3,TRUE
"190",0.301453083803843,2146.29,NA,-67.5,-2.5,TRUE
"191",0.326085017390332,2257.61,NA,-67.5,-2,TRUE
"192",0.266420673151485,2453.29,NA,-67.5,-1.5,TRUE
"193",0.198562421296772,2626.15,NA,-67.5,-1,TRUE
"194",0.191293252480997,2712.63,NA,-67.5,-0.5,TRUE
"195",0.260364748980548,2721.1,NA,-67.5,0,TRUE
"196",0.255593556983798,2683.25,NA,-67.5,0.5,TRUE
"197",0.243393238504135,2625.97,NA,-67.5,1,TRUE
"198",0.282473465491985,2573.49,NA,-67.5,1.5,TRUE
"199",0.281382605294201,2520.47,NA,-67.5,2,TRUE
"200",0.241159756978353,1443.12,0.0510293878614902,-67,-10,TRUE
"201",0.418988525867462,1453.42,NA,-67,-9.5,TRUE
"202",0.387408321186648,1476.16,NA,-67,-9,TRUE
"203",0.32661580547844,1577.46,NA,-67,-8.5,TRUE
"204",0.364712931893089,1670.7,NA,-67,-8,TRUE
"205",0.38559137071882,1743.29,NA,-67,-7.5,TRUE
"206",0.299107083103113,1797.08,NA,-67,-7,TRUE
"207",0.297834076224283,1831.67,NA,-67,-6.5,TRUE
"208",0.308972615696309,1868.63,NA,-67,-6,TRUE
"209",0.299447952606687,1948.65,NA,-67,-5.5,TRUE
"210",0.323389605140434,2065.84,NA,-67,-5,TRUE
"211",0.313166962506196,2136.7,NA,-67,-4.5,TRUE
"212",0.303963284561599,2132.85,NA,-67,-4,TRUE
